開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］
縹緲	缥缈	piao1 miao3
飄飄然	飘飘然	piao1 piao1 ran2
剽竊	剽窃	piao1 qie4
剽取	剽取	piao1 qu3
漂移	漂移	piao1 yi2
飄移	飘移	piao1 yi2
嫖娼	嫖娼	piao2 chang1
嫖妓	嫖妓	piao2 ji4
嫖客	嫖客	piao2 ke4
漂白	漂白	piao3 bai2
漂洗	漂洗	piao3 xi3
票房	票房	piao4 fang2
漂亮	漂亮	piao4 liang4
漂亮話	漂亮话	piao4 liang4 hua4
嘌呤	嘌呤	piao4 ling2
瞥一眼	瞥一眼	pie1 yi4 yan3
撇開	撇开	pie3 kai1
撇條	撇条	pie3 tiao2
拼搏	拼搏	pin1 bo2
拼湊	拼凑	pin1 cou4
拼錯	拼错	pin1 cuo4
拼法	拼法	pin1 fa3
姘夫	姘夫	pin1 fu1
姘婦	姘妇	pin1 fu4
姘居	姘居	pin1 ju1
拼命	拼命	pin1 ming4
拼命三郎	拼命三郎	pin1 ming4 san1 lang2
拼盤	拼盘	pin1 pan2
姘頭	姘头	pin1 tou5
拼音	拼音	pin1 yin1
嬪從	嫔从	pin2 cong2
頻道	频道	pin2 dao4
貧乏	贫乏	pin2 fa2
頻繁	频繁	pin2 fan2
嬪妃	嫔妃	pin2 fei1
貧富差距	贫富差距	pin2 fu4 cha1 ju4
貧寒	贫寒	pin2 han2
貧瘠	贫瘠	pin2 ji2
貧賤不能移	贫贱不能移	pin2 jian4 bu4 neng2 yi2
貧苦	贫苦	pin2 ku3
貧困	贫困	pin2 kun4
頻率	频率	pin2 lv4
顰眉	颦眉	pin2 mei2
貧民窟	贫民窟	pin2 min2 ku1
頻頻	频频	pin2 pin2
貧窮	贫穷	pin2 qiong2
貧血	贫血	pin2 xue4
品茶	品茶	pin3 cha2
品嚐	品尝	pin3 chang2
品德	品德	pin3 de2
品德高尚	品德高尚	pin3 de2 gao1 shang4
品格	品格	pin3 ge2
品格高尚	品格高尚	pin3 ge2 gao1 shang4
品茗	品茗	pin3 ming2
品牌	品牌	pin3 pai2
品牌服裝	品牌服装	pin3 pai2 fu2 zhuang1
品牌化妝品	品牌化妆品	pin3 pai2 hua4 zhuang1 pin3
品牌香水	品牌香水	pin3 pai2 xiang1 shui3
品味	品味	pin3 wei4
品行	品行	pin3 xing2
品行端正	品行端正	pin3 xing2 duan1 zheng4
品性	品性	pin3 xing4
品性敦厚	品性敦厚	pin3 xing4 dun1 hou4
品學兼優	品学兼优	pin3 xue2 jian1 you1
品質	品质	pin3 zhi4
品種	品种	pin3 zhong3
聘請	聘请	pin4 qing3
聘任	聘任	pin4 ren4
乒乓球	乒乓球	ping1 pang1
娉婷	娉婷	ping1 ting2
平安	平安	ping2 an1
平安無事	平安无事	ping2 an1 wu2 shi4
屏蔽	屏蔽	ping2 bi4
平常	平常	ping2 chang2
平淡無奇	平淡无奇	ping2 dan4 wu2 qi2
平等	平等	ping2 deng3
平地一聲雷	平地一声雷	ping2 di4 yi4 sheng1 lei2
憑弔	凭吊	ping2 diao4
平凡	平凡	ping2 fan2
平反昭雪	平反昭雪	ping2 fan3 zhao1 xue3
平方	平方	ping2 fang1
屏風	屏风	ping2 feng1
評改	评改	ping2 gai3
評改作文	评改作文	ping2 gai3 zuo4 wen2
蘋果	苹果	ping2 guo3
蘋果派	苹果派	ping2 guo3 pai4
蘋果樹	苹果树	ping2 guo3 shu4
蘋果汁	苹果汁	ping2 guo3 zhi1
平衡	平衡	ping2 heng2
評價	评价	ping2 jia4
憑藉	凭借	ping2 jie4
瓶頸	瓶颈	ping2 jing3
平靜	平静	ping2 jing4
平靜如常	平静如常	ping2 jing4 ru2 chang2
憑據	凭据	ping2 ju4
平均	平均	ping2 jun1
憑空臆測	凭空臆测	ping2 kong1 yi4 ce4
評論	评论	ping2 lun4
評論家	评论家	ping2 lun4 jia1
平面	平面	ping2 mian4
平民	平民	ping2 min2
平民百姓	平民百姓	ping2 min2 bai3 xing4
屏幕	屏幕	ping2 mu4
評判	评判	ping2 pan4
平起平坐	平起平坐	ping2 qi3 ping2 zuo4
評審	评审	ping2 shen3
平時	平时	ping2 shi2
萍水相逢	萍水相逢	ping2 shui3 xiang1 feng2
平素	平素	ping2 su4
平台	平台	ping2 tai2
平坦	平坦	ping2 tan3
評頭論足	评头论足	ping2 tou2 lun4 zu2
平紋	平纹	ping2 wen2
平紋布	平纹布	ping2 wen2 bu4
平息	平息	ping2 xi1
平心靜氣	平心静气	ping2 xin1 jing4 qi4
平行	平行	ping2 xing2
憑一己之力	凭一己之力	ping2 yi4 ji3 zhi1 li4
平原	平原	ping2 yuan2
平仄	平仄	ping2 ze4
屏障	屏障	ping2 zhang4
瓶子	瓶子	ping2 zi5
坡度	坡度	po1 du4
潑辣	泼辣	po1 la4
頗有造就	颇有造就	po1 you3 zao4 jiu4
婆家	婆家	po2 jia1
婆娘	婆娘	po2 niang2
婆婆家	婆婆家	po2 po2 jia1
婆婆	婆婆	po2 po5
婆婆媽媽	婆婆妈妈	po2 po5 ma1 ma1
叵測	叵测	po3 ce4
笸籮	笸箩	po3 luo5
叵奈	叵奈	po3 nai4
叵耐	叵耐	po3 nai4
迫不及待	迫不及待	po4 bu4 ji2 dai4
破財	破财	po4 cai2
破財免災	破财免灾	po4 cai2 mian3 zai1
破讀	破读	po4 du2
破費	破费	po4 fei4
破釜沉舟	破釜沉舟	po4 fu3 chen2 zhou1
迫害	迫害	po4 hai4
破壞	破坏	po4 huai4
破解	破解	po4 jie3
破舊	破旧	po4 jiu4
破口大罵	破口大骂	po4 kou3 da4 ma4
魄力	魄力	po4 li4
破裂	破裂	po4 lie4
破謎兒	破谜儿	po4 mei4 er5
迫切	迫切	po4 qie4
迫使	迫使	po4 shi3
破碎	破碎	po4 sui4
破損	破损	po4 sun3
破損不堪	破损不堪	po4 sun3 bu4 kan1
破曉	破晓	po4 xiao3
破衣服	破衣服	po4 yi1 fu5
破衣爛衫	破衣烂衫	po4 yi1 lan4 shan1
迫於	迫于	po4 yu2
剖白	剖白	pou1 bai2
剖腹	剖腹	pou1 fu4
剖腹產	剖腹产	pou1 fu4 chan3
剖腹生產	剖腹生产	pou1 fu4 sheng1 chan3
剖腹手術	剖腹手术	pou1 fu4 shou3 shu4
剖腹自盡	剖腹自尽	pou1 fu4 zi4 jin4
剖面	剖面	pou1 mian4
剖析	剖析	pou1 xi1
撲鼻	扑鼻	pu1 bi2
噗哧	噗哧	pu1 chi1
撲哧	扑哧	pu1 chi1
撲哧一笑	扑哧一笑	pu1 chi1 yi2 xiao4
噗哧一聲	噗哧一声	pu1 chi1 yi4 sheng1
撲哧一聲	扑哧一声	pu1 chi1 yi4 sheng1
鋪床	铺床	pu1 chuang2
鋪墊	铺垫	pu1 dian4
鋪軌	铺轨	pu1 gui3
撲過來	扑过来	pu1 guo4 lai2
鋪開	铺开	pu1 kai1
撲克	扑克	pu1 ke4
撲克牌	扑克牌	pu1 ke4 pai2
鋪路	铺路	pu1 lu4
撲滿	扑满	pu1 man3
鋪滿	铺满	pu1 man3
撲面	扑面	pu1 mian4
撲面而來	扑面而来	pu1 mian4 er2 lai2
撲滅	扑灭	pu1 mie4
鋪平	铺平	pu1 ping2
鋪平道路	铺平道路	pu1 ping2 dao4 lu4
鋪設	铺设	pu1 she4
撲朔迷離	扑朔迷离	pu1 shuo4 mi2 li2
鋪天蓋地	铺天盖地	pu1 tian1 gai4 di4
噗通	噗通	pu1 tong1
撲通	扑通	pu1 tong1
噗通一聲	噗通一声	pu1 tong1 yi4 sheng1
撲通一聲	扑通一声	pu1 tong1 yi4 sheng1
鋪展	铺展	pu1 zhan3
鋪張	铺张	pu1 zhang1
僕從	仆从	pu2 cong2
匍匐前進	匍匐前进	pu2 fu2 qian2 jin4
蒲公英	蒲公英	pu2 gong1 ying1
僕人	仆人	pu2 ren2
菩薩	菩萨	pu2 sa4
葡萄	葡萄	pu2 tao2
葡萄乾	葡萄干	pu2 tao2 gan1
葡萄苷	葡萄苷	pu2 tao2 gan1
葡萄酒	葡萄酒	pu2 tao2 jiu3
葡萄柚	葡萄柚	pu2 tao2 you4
葡萄汁	葡萄汁	pu2 tao2 zhi1
菩提	菩提	pu2 ti2
菩提樹	菩提树	pu2 ti2 shu4
菩提珠	菩提珠	pu2 ti2 zhu1
莆田	莆田	pu2 tian2
僕役	仆役	pu2 yi4
璞玉渾金	璞玉浑金	pu2 yu4 hun2 jin1
普遍	普遍	pu3 bian4
普洱茶	普洱茶	pu3 er3 cha2
普鈣	普钙	pu3 gai4
普羅	普罗	pu3 luo2
普羅列塔利亞	普罗列塔利亚	pu3 luo2 lie4 ta3 li4 ya4
普羅文學	普罗文学	pu3 luo2 wen2 xue2
普羅作家	普罗作家	pu3 luo2 zuo4 jia1
譜曲	谱曲	pu3 qu3
樸實	朴实	pu3 shi2
樸素	朴素	pu3 su4
普通	普通	pu3 tong1
普通過磷酸鈣	普通过磷酸钙	pu3 tong1 guo4 lin2 suan1 gai4
普通話	普通话	pu3 tong1 hua4
普通老百姓	普通老百姓	pu3 tong1 lao3 bai3 xing4
溥儀	溥仪	pu3 yi2
樸直	朴直	pu3 zhi2
蹼趾	蹼趾	pu3 zhi3
樸忠	朴忠	pu3 zhong1
蹼足	蹼足	pu3 zu2
瀑布	瀑布	pu4 bu4
舖蓋	铺盖	pu4 gai4
舖蓋捲	铺盖卷	pu4 gai4 juan3
曝光	曝光	pu4 guang1
曝曬	曝晒	pu4 shai4
舖位	铺位	pu4 wei4
舖子	铺子	pu4 zi5
戚愛	戚爱	qi1 ai4
淒慘	凄惨	qi1 can3
淒惻	凄恻	qi1 ce4
淒惻	凄恻	qi1 ce4
沏茶	沏茶	qi1 cha2
七長八短	七长八短	qi1 chang2 ba1 duan3
七成	七成	qi1 cheng2
戚寵	戚宠	qi1 chong3
淒愴	凄怆	qi1 chuang4
期待	期待	qi1 dai4
期待以久	期待以久	qi1 dai4 yi3 jiu3
七顛八倒	七颠八倒	qi1 dian1 ba1 dao3
七點	七点	qi1 dian3
七點鐘	七点钟	qi1 dian3 zhong1
欺負	欺负	qi1 fu4
戚好	戚好	qi1 hao3
戚家	戚家	qi1 jia1
期間	期间	qi1 jian1
期刊	期刊	qi1 kan1
七老八十	七老八十	qi1 lao3 ba1 shi2
戚里	戚里	qi1 li3
淒涼	凄凉	qi1 liang2
欺凌	欺凌	qi1 ling2
七零八落	七零八落	qi1 ling2 ba1 luo4
欺謾	欺谩	qi1 man2
期末	期末	qi1 mo4
期末考	期末考	qi1 mo4 kao3
期末考試	期末考试	qi1 mo4 kao3 shi4
七扭八歪	七扭八歪	qi1 niu3 ba1 wai1
期盼	期盼	qi1 pan4
欺騙	欺骗	qi1 pian4
七拼八湊	七拼八凑	qi1 pin1 ba1 cou4
蹊蹺	蹊跷	qi1 qiao1
七竅	七窍	qi1 qiao4
七竅	七窍	qi1 qiao4
七竅流血	七窍流血	qi1 qiao4 liu2 xue4
七竅生煙	七窍生烟	qi1 qiao4 sheng1 yan1
淒切	凄切	qi1 qie4
七擒七縱	七擒七纵	qi1 qin2 qi1 zong4
淒清	凄清	qi1 qing1
七情	七情	qi1 qing2
七情六慾	七情六欲	qi1 qing2 liu4 yu4
淒然	凄然	qi1 ran2
欺人太甚	欺人太甚	qi1 ren2 tai4 shen4
七色	七色	qi1 se4
七上八下	七上八下	qi1 shang4 ba1 xia4
欺上瞞下	欺上瞒下	qi1 shang4 man2 xia4
欺上矇下	欺上蒙下	qi1 shang4 meng1 xia4
欺世盜名	欺世盗名	qi1 shi4 dao4 ming2
七手八腳	七手八脚	qi1 shou3 ba1 jiao3
戚屬	戚属	qi1 shu3
戚畹	戚畹	qi1 wan3
欺侮	欺侮	qi1 wu3
棲息	栖息	qi1 xi1
棲息處	栖息处	qi1 xi1 chu4
戚揚	戚扬	qi1 yang2
戚誼	戚谊	qi1 yi4
戚友	戚友	qi1 you3
七月	七月	qi1 yue4
欺詐	欺诈	qi1 zha4
七折八扣	七折八扣	qi1 zhe2 ba1 kou4
期中	期中	qi1 zhong1
期中考	期中考	qi1 zhong1 kao3
期中之一	期中之一	qi1 zhong1 zhi1 yi1
妻子	妻子	qi1 zi5
七嘴八舌	七嘴八舌	qi1 zui3 ba1 she2
騎兵	骑兵	qi2 bing1
騎車	骑车	qi2 che1
齊齒呼	齐齿呼	qi2 chi3 hu1
旗幢	旗幢	qi2 chuang2
騎從	骑从	qi2 cong2
臍帶	脐带	qi2 dai4
祈禱	祈祷	qi2 dao3
騎縫	骑缝	qi2 feng4
騎縫印	骑缝印	qi2 feng4 yin4
騎縫章	骑缝章	qi2 feng4 zhang1
棋高一著	棋高一着	qi2 gao1 yi4 zhao1
旗鼓相當	旗鼓相当	qi2 gu3 xiang1 dang1
奇怪	奇怪	qi2 guai4
奇觀	奇观	qi2 guan1
旗號	旗号	qi2 hao4
騎鶴上揚州	骑鹤上扬州	qi2 he4 shang4 yang2 zhou1
騎鶴揚州	骑鹤扬州	qi2 he4 yang2 zhou1
騎虎難下	骑虎难下	qi2 hu3 nan2 xia4
騎虎之勢	骑虎之势	qi2 hu3 zhi1 shi4
騎機車	骑机车	qi2 ji1 che1
奇跡	奇迹	qi2 ji4
旗艦	旗舰	qi2 jian4
騎劫	骑劫	qi2 jie2
旗開得勝	旗开得胜	qi2 kai1 de2 sheng4
耆老	耆老	qi2 lao3
麒麟	麒麟	qi2 lin2
騎驢覓驢	骑驴觅驴	qi2 lv2 mi4 lv2
騎馬	骑马	qi2 ma3
騎馬找馬	骑马找马	qi2 ma3 zhao3 ma3
其貌不揚	其貌不扬	qi2 mao4 bu4 yang2
奇妙	奇妙	qi2 miao4
棋盤	棋盘	qi2 pan2
騎牆	骑墙	qi2 qiang2
崎嶇	崎岖	qi2 qu1
崎嶇不平	崎岖不平	qi2 qu1 bu4 ping2
齊全	齐全	qi2 quan2
岐山	岐山	qi2 shan1
騎哨	骑哨	qi2 shao4
騎射	骑射	qi2 she4
其實	其实	qi2 shi2
歧視	歧视	qi2 shi4
騎士	骑士	qi2 shi4
其事雖易為，其理則難明	其事虽易为，其理则难明	qi2 shi4 sui1 yi4 wei2 qi2 li3 ze2 nan2 ming2
耆宿	耆宿	qi2 su4
其他	其他	qi2 ta1
其他人	其他人	qi2 ta1 ren2
奇威鳥	奇威鸟	qi2 wei1 niao3
奇文	奇文	qi2 wen2
奇文軼事	奇文轶事	qi2 wen2 yi4 shi4
旗下	旗下	qi2 xia4
齊心合力	齐心合力	qi2 xin1 he2 li4
齊心協力	齐心协力	qi2 xin1 xie2 li4
奇形怪狀	奇形怪状	qi2 xing2 guai4 zhuang4
奇異果	奇异果	qi2 yi4 guo3
奇異鳥	奇异鸟	qi2 yi4 niao3
其餘	其余	qi2 yu2
奇哉怪也	奇哉怪也	qi2 zai1 guai4 ye3
旗幟	旗帜	qi2 zhi4
其中	其中	qi2 zhong1
豈不	岂不	qi3 bu4
起步	起步	qi3 bu4
起場	起场	qi3 chang2
起初	起初	qi3 chu1
起床	起床	qi3 chuang2
企待	企待	qi3 dai4
起到	起到	qi3 dao4
起到作用	起到作用	qi3 dao4 zuo4 yong4
啟迪	启迪	qi3 di2
起碇	起碇	qi3 ding4
啟動	启动	qi3 dong4
啟發	启发	qi3 fa1
豈非	岂非	qi3 fei1
起飛	起飞	qi3 fei1
乞丐	乞丐	qi3 gai4
起鬨	起哄	qi3 hong4
起諢名	起诨名	qi3 hun4 ming2
起火	起火	qi3 huo3
企及	企及	qi3 ji2
起家	起家	qi3 jia1
起解	起解	qi3 jie4
起勁	起劲	qi3 jin4
起居	起居	qi3 ju1
起居如常	起居如常	qi3 ju1 ru2 chang2
起來	起来	qi3 lai2
起雷	起雷	qi3 lei2
綺麗	绮丽	qi3 li4
起落	起落	qi3 luo4
起落架	起落架	qi3 luo4 jia4
起名字	起名字	qi3 ming2 zi5
豈能	岂能	qi3 neng2
企盼	企盼	qi3 pan4
起訖	起讫	qi3 qi4
起訖日期	起讫日期	qi3 qi4 ri4 qi1
企求	企求	qi3 qiu2
杞人憂天	杞人忧天	qi3 ren2 you1 tian1
啟事	启事	qi3 shi4
稽首	稽首	qi3 shou3
企圖	企图	qi3 tu2
企圖逃跑	企图逃跑	qi3 tu2 tao2 pao3
企望	企望	qi3 wang4
起舞	起舞	qi3 wu3
起熏陶作用	起熏陶作用	qi3 xun1 tao2 zuo4 yong4
企業	企业	qi3 ye4
企業倒閉	企业倒闭	qi3 ye4 dao3 bi4
企業家	企业家	qi3 ye4 jia1
起義	起义	qi3 yi4
豈有此理	岂有此理	qi3 you3 ci3 li3
起重機	起重机	qi3 zhong4 ji1
起皺	起皱	qi3 zhou4
企足而待	企足而待	qi3 zu2 er2 dai4
起作用	起作用	qi3 zuo4 yong4
泣不成聲	泣不成声	qi4 bu4 cheng2 sheng1
器材	器材	qi4 cai2
汽車喇叭	汽车喇叭	qi4 che1 la3 ba5
汽船	汽船	qi4 chuan2
汽笛	汽笛	qi4 di2
氣定神閒	气定神闲	qi4 ding4 shen2 xian2
氣氛	气氛	qi4 fen1
氣憤	气愤	qi4 fen4
器官	器官	qi4 guan1
契合	契合	qi4 he2
氣候	气候	qi4 hou4
氣候寒冷	气候寒冷	qi4 hou4 han2 leng3
氣候適中	气候适中	qi4 hou4 shi4 zhong1
迄今	迄今	qi4 jin1
器具	器具	qi4 ju4
契據	契据	qi4 ju4
氣力	气力	qi4 li4
氣力充沛	气力充沛	qi4 li4 chong1 pei4
器量	器量	qi4 liang4
氣量	气量	qi4 liang4
器量大	器量大	qi4 liang4 da4
器量小	器量小	qi4 liang4 xiao3
氣悶	气闷	qi4 men4
器皿	器皿	qi4 min3
氣餒	气馁	qi4 nei3
氣派	气派	qi4 pai4
氣泡	气泡	qi4 pao4
棄取	弃取	qi4 qu3
氣勢磅礴	气势磅礴	qi4 shi4 pang2 bo2
氣勢洶洶	气势汹汹	qi4 shi4 xiong1 xiong1
氣體	气体	qi4 ti3
汽艇	汽艇	qi4 ting3
氣味相投	气味相投	qi4 wei4 xiang1 tou2
氣味熏人	气味熏人	qi4 wei4 xun1 ren2
氣溫	气温	qi4 wen1
氣溫下降	气温下降	qi4 wen1 xia4 jiang4
器物	器物	qi4 wu4
氣息	气息	qi4 xi1
器小易盈	器小易盈	qi4 xiao3 yi4 ying2
氣咻咻	气咻咻	qi4 xiu1 xiu1
氣吁吁	气吁吁	qi4 xu1 xu1
氣焰	气焰	qi4 yan4
氣焰萬丈	气焰万丈	qi4 yan4 wan4 zhang4
氣焰囂張	气焰嚣张	qi4 yan4 xiao1 zhang1
氣焰熏天	气焰熏天	qi4 yan4 xun1 tian1
汽油	汽油	qi4 you2
契約	契约	qi4 yue1
器樂	器乐	qi4 yue4
器樂曲	器乐曲	qi4 yue4 qu3
氣炸	气炸	qi4 zha4
迄止	迄止	qi4 zhi3
氣質	气质	qi4 zhi4
袷袢	袷袢	qia1 pan4
掐著指頭	掐着指头	qia1 zhe5 zhi3 tou5
掐住	掐住	qia1 zhu4
拤腰	拤腰	qia2 yao1
卡脖子	卡脖子	qia3 bo2 zi5
恰當	恰当	qia4 dang4
髂骨	髂骨	qia4 gu3
恰好	恰好	qia4 hao3
恰恰	恰恰	qia4 qia4
恰巧	恰巧	qia4 qiao3
洽商	洽商	qia4 shang1
謙卑	谦卑	qian1 bei1
鉛筆盒	铅笔盒	qian1 bi3 he2
簽唱會	签唱会	qian1 chang4 hui4
牽掣	牵掣	qian1 che4
千錘百煉	千锤百炼	qian1 chui2 bai3 lian4
千刀萬剮	千刀万剐	qian1 dao1 wan4 gua3
簽訂	签订	qian1 ding4
謙恭	谦恭	qian1 gong1
謙恭厚道	谦恭厚道	qian1 gong1 hou4 dao5
牽掛	牵挂	qian1 gua4
千金小姐	千金小姐	qian1 jin1 xiao3 jie3
遷居	迁居	qian1 ju1
遷居外地	迁居外地	qian1 ju1 wai4 di4
千鈞一髮	千钧一发	qian1 jun1 yi2 fa4
牽累	牵累	qian1 lei3
千里鵝毛	千里鹅毛	qian1 li3 e2 mao2
千里迢迢	千里迢迢	qian1 li3 tiao2 tiao2
牽連	牵连	qian1 lian2
千慮一得	千虑一得	qian1 lv4 yi4 de2
簽名	签名	qian1 ming2
阡陌	阡陌	qian1 mo4
阡陌交通	阡陌交通	qian1 mo4 jiao1 tong1
阡陌縱橫	阡陌纵横	qian1 mo4 zong4 heng2
千鳥	千鸟	qian1 niao3
牽牛	牵牛	qian1 niu2
牽牛花	牵牛花	qian1 niu2 hua1
千篇一律	千篇一律	qian1 pian1 yi2 lv4
牽強附會	牵强附会	qian1 qiang3 fu4 hui4
謙讓	谦让	qian1 rang4
千山萬壑	千山万壑	qian1 shan1 wan4 he4
千山萬水	千山万水	qian1 shan1 wan4 shui3
牽手	牵手	qian1 shou3
簽署	签署	qian1 shu3
千瓦	千瓦	qian1 wa3
千瓦時	千瓦时	qian1 wa3 shi2
千萬	千万	qian1 wan4
千禧	千禧	qian1 xi3
遷徙	迁徙	qian1 xi3
千辛萬苦	千辛万苦	qian1 xin1 wan4 ku3
謙虛	谦虚	qian1 xu1
謙遜	谦逊	qian1 xun4
遷延	迁延	qian1 yan2
遷延時日	迁延时日	qian1 yan2 shi2 ri4
遷移	迁移	qian1 yi2
牽引	牵引	qian1 yin3
簽約	签约	qian1 yue1
千載難逢	千载难逢	qian1 zai3 nan2 feng2
簽證	签证	qian1 zheng4
千中挑，萬中選	千中挑，万中选	qian1 zhong1 tiao1 wan4 zhong1 xuan3
簽注	签注	qian1 zhu4
籤子	签子	qian1 zi5
錢包	钱包	qian2 bao1
前輩	前辈	qian2 bei4
錢幣	钱币	qian2 bi4
前不巴村後不巴店	前不巴村后不巴店	qian2 bu4 ba1 cun1 hou4 bu4 ba1 dian4
前不巴村後不著店	前不巴村后不着店	qian2 bu4 ba1 cun1 hou4 bu4 zhao2 dian4
前不久	前不久	qian2 bu4 jiu3
前不著村後不著店	前不着村后不着店	qian2 bu4 zhao2 cun1 hou4 bu4 zhao2 dian4
前車之覆，後車之鑑	前车之覆，后车之鉴	qian2 che1 zhi1 fu4 hou4 che1 zhi1 jian4
前車之鑑	前车之鉴	qian2 che1 zhi1 jian4
虔誠	虔诚	qian2 cheng2
前度	前度	qian2 du4
乾卦	乾卦	qian2 gua4
潛規則	潜规则	qian2 gui1 ze2
前寒武紀	前寒武纪	qian2 han2 wu3 ji4
前後	前后	qian2 hou4
前後不一	前后不一	qian2 hou4 bu4 yi1
前後矛盾	前后矛盾	qian2 hou4 mao2 dun4
前後判若兩人	前后判若两人	qian2 hou4 pan4 ruo4 liang3 ren2
前進	前进	qian2 jin4
錢可通神	钱可通神	qian2 ke3 tong1 shen2
掮客	掮客	qian2 ke4
乾坤	乾坤	qian2 kun1
前來	前来	qian2 lai2
潛力	潜力	qian2 li4
黔驢技窮	黔驴技穷	qian2 lv2 ji4 qiong2
前門	前门	qian2 men2
前面	前面	qian2 mian4
前男友	前男友	qian2 nan2 you3
潛能	潜能	qian2 neng2
潛鳥	潜鸟	qian2 niao3
前女友	前女友	qian2 nv3 you3
前仆後繼	前仆后继	qian2 pu1 hou4 ji4
前述	前述	qian2 shu4
潛水	潜水	qian2 shui3
潛水艇	潜水艇	qian2 shui3 ting3
潛逃	潜逃	qian2 tao2
前提	前提	qian2 ti2
潛艇	潜艇	qian2 ting3
前往	前往	qian2 wang3
前衛藝術	前卫艺术	qian2 wei4 yi4 shu4
前無古人，後無來者	前无古人，后无来者	qian2 wu2 gu3 ren2 hou4 wu2 lai2 zhe3
前夕	前夕	qian2 xi1
前嫌盡釋	前嫌尽释	qian2 xian2 jin4 shi4
潛血	潜血	qian2 xue4
前搖後擺	前摇后摆	qian2 yao2 hou4 bai3
前夜	前夜	qian2 ye4
潛意識	潜意识	qian2 yi4 shi2
潛在	潜在	qian2 zai4
乾造	乾造	qian2 zao4
乾宅	乾宅	qian2 zhai2
前瞻	前瞻	qian2 zhan1
前兆	前兆	qian2 zhao4
前者	前者	qian2 zhe3
前爪	前爪	qian2 zhua3
前奏	前奏	qian2 zou4
前奏曲	前奏曲	qian2 zou4 qu3
淺薄	浅薄	qian3 bo2
淺嘗輒止	浅尝辄止	qian3 chang2 zhe2 zhi3
淺兒	浅儿	qian3 er5
淺海	浅海	qian3 hai3
淺紅	浅红	qian3 hong2
淺見	浅见	qian3 jian4
淺近	浅近	qian3 jin4
淺陋	浅陋	qian3 lou4
淺露	浅露	qian3 lu4
淺綠	浅绿	qian3 lv4
淺明	浅明	qian3 ming2
繾綣	缱绻	qian3 quan3
淺說	浅说	qian3 shuo1
遣送	遣送	qian3 song4
淺灘	浅滩	qian3 tan1
淺談	浅谈	qian3 tan2
淺顯	浅显	qian3 xian3
淺學	浅学	qian3 xue2
淺易	浅易	qian3 yi4
譴責	谴责	qian3 ze2
譴謫	谴谪	qian3 zhe2
淺紫	浅紫	qian3 zi3
淺子	浅子	qian3 zi5
茜草	茜草	qian4 cao3
欠打	欠打	qian4 da3
塹壕	堑壕	qian4 hao2
欠佳	欠佳	qian4 jia1
欠缺	欠缺	qian4 que1
芡實	芡实	qian4 shi2
謙受益	谦受益	qian4 shou4 yi4
謙受益，滿招損	谦受益，满招损	qian4 shou4 yi4 man3 zhao1 sun3
欠條	欠条	qian4 tiao2
欠妥	欠妥	qian4 tuo3
謙虛備至	谦虚备至	qian4 xu1 bei4 zhi4
歉意	歉意	qian4 yi4
倩影	倩影	qian4 ying3
欠揍	欠揍	qian4 zou4
將	将	qiang1
槍斃	枪毙	qiang1 bi4
將伯	将伯	qiang1 bo2
將伯之助	将伯之助	qiang1 bo2 zhi1 zhu4
腔調	腔调	qiang1 diao4
槍法	枪法	qiang1 fa3
戧風	戗风	qiang1 feng1
槍桿	枪杆	qiang1 gan3
戕害	戕害	qiang1 hai4
槍擊	枪击	qiang1 ji1
槍決	枪决	qiang1 jue2
蜣螂	蜣螂	qiang1 lang2
槍林彈雨	枪林弹雨	qiang1 lin2 dan4 yu3
鏘鏘	锵锵	qiang1 qiang1
槍殺	枪杀	qiang1 sha1
槍殺案	枪杀案	qiang1 sha1 an4
槍手	枪手	qiang1 shou3
槍膛	枪膛	qiang1 tang2
槍托	枪托	qiang1 tuo1
槍械	枪械	qiang1 xie4
羌族	羌族	qiang1 zu2
牆壁	墙壁	qiang2 bi4
強詞奪理	强词夺理	qiang2 ci2 duo2 li3
強大	强大	qiang2 da4
強盜	强盗	qiang2 dao4
強調	强调	qiang2 diao4
強而有力	强而有力	qiang2 er2 you3 li4
牆縫	墙缝	qiang2 feng4
牆旮旯	墙旮旯	qiang2 ga1 la2
強化	强化	qiang2 hua4
強姦	强奸	qiang2 jian1
強姦犯	强奸犯	qiang2 jian1 fan4
強將手下無弱兵	强将手下无弱兵	qiang2 jiang4 shou3 xia4 wu2 ruo4 bing1
強勁	强劲	qiang2 jing4
強烈	强烈	qiang2 lie4
強弩之末	强弩之末	qiang2 nu3 zhi1 mo4
薔薇	蔷薇	qiang2 wei1
強吻	强吻	qiang2 wen3
強項	强项	qiang2 xiang4
強心劑	强心剂	qiang2 xin1 ji4
強行	强行	qiang2 xing2
強顏歡笑	强颜欢笑	qiang2 yan2 huan1 xiao4
強制	强制	qiang2 zhi4
強中自有強中手	强中自有强中手	qiang2 zhong1 zi4 you3 qiang2 zhong1 shou3
強壯	强壮	qiang2 zhuang4
搶奪	抢夺	qiang3 duo2
搶攻	抢攻	qiang3 gong1
搶購	抢购	qiang3 gou4
羥基	羟基	qiang3 ji1
羥基苯	羟基苯	qiang3 ji1 ben3
