開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］
白干兒	白干儿	bai2 gan1 er5
白鶴	白鹤	bai2 he4
白珩	白珩	bai2 heng2
白花花	白花花	bai2 hua1 hua1
白酒	白酒	bai2 jiu3
白蛉	白蛉	bai2 ling2
白鷺	白鹭	bai2 lu4
白鷺鷥	白鹭鸶	bai2 lu4 si1
白馬王子	白马王子	bai2 ma3 wang2 zi3
白茫茫	白茫茫	bai2 mang2 mang2
白矇矇	白蒙蒙	bai2 meng1 meng1
白麵	白面	bai2 mian4
白麵兒	白面儿	bai2 mian4 er5
白日夢	白日梦	bai2 ri4 meng4
白色	白色	bai2 se4
白手成家	白手成家	bai2 shou3 cheng2 jia1
白手起家	白手起家	bai2 shou3 qi3 jia1
白鼠	白鼠	bai2 shu3
白天	白天	bai2 tian1
白頭	白头	bai2 tou2
白頭材料	白头材料	bai2 tou2 cai2 liao4
白頭帖子	白头帖子	bai2 tou2 tie3 zi5
白頭偕老	白头偕老	bai2 tou2 xie2 lao3
白皙	白皙	bai2 xi1
白血病	白血病	bai2 xue4 bing4
白蟻	白蚁	bai2 yi3
白紙	白纸	bai2 zhi3
白紙黑字	白纸黑字	bai2 zhi3 hei1 zi4
白晝	白昼	bai2 zhou4
白字	白字	bai2 zi4
擺佈	摆布	bai3 bu4
擺出來	摆出来	bai3 chu1 lai2
百川歸海	百川归海	bai3 chuan1 gui1 hai3
擺動	摆动	bai3 dong4
百讀不厭	百读不厌	bai3 du2 bu2 yan4
百發百中	百发百中	bai3 fa1 bai3 zhong4
百分	百分	bai3 fen1
百分比	百分比	bai3 fen1 bi3
百分數	百分数	bai3 fen1 shu4
百分之	百分之	bai3 fen1 zhi1
百感交集	百感交集	bai3 gan3 jiao1 ji2
擺供	摆供	bai3 gong4
捭闔	捭阖	bai3 he2
捭闔之術	捭阖之术	bai3 he2 zhi1 shu4
百花齊放，百家爭鳴	百花齐放，百家争鸣	bai3 hua1 qi2 fang4 bai3 jia1 zheng1 ming2
百貨	百货	bai3 huo4
百貨公司	百货公司	bai3 huo4 gong1 si1
百家爭鳴	百家争鸣	bai3 jia1 zheng1 ming2
百科	百科	bai3 ke1
百科全書	百科全书	bai3 ke1 quan2 shu1
擺款	摆款	bai3 kuan3
擺擂	摆擂	bai3 lei4
擺擂台	摆擂台	bai3 lei4 tai2
百里香	百里香	bai3 li3 xiang1
百忙之中	百忙之中	bai3 mang2 zhi1 zhong1
柏木	柏木	bai3 mu4
擺弄	摆弄	bai3 nong4
百善孝為先	百善孝为先	bai3 shan4 xiao4 wei2 xian1
擺設	摆设	bai3 she4
柏樹	柏树	bai3 shu4
百思不得其解	百思不得其解	bai3 si1 bu4 de2 qi2 jie3
百思不解	百思不解	bai3 si1 bu4 jie3
擺脫	摆脱	bai3 tuo1
百萬	百万	bai3 wan4
百萬富翁	百万富翁	bai3 wan4 fu4 weng1
百聞不如一見	百闻不如一见	bai3 wen2 bu4 ru2 yi2 jian4
百香果	百香果	bai3 xiang1 guo3
百星不如一月	百星不如一月	bai3 xing1 bu4 ru2 yi2 yue4
百姓	百姓	bai3 xing4
百姓充實	百姓充实	bai3 xing4 chong1 shi2
百葉窗簾	百叶窗帘	bai3 ye4 chuang1 lian2
百依百順	百依百顺	bai3 yi1 bai3 shun4
擺在面前	摆在面前	bai3 zai4 mian4 qian2
百戰百勝	百战百胜	bai3 zhan4 bai3 sheng4
百戰不殆	百战不殆	bai3 zhan4 bu2 dai4
百折不撓	百折不挠	bai3 zhe2 bu4 nao2
百褶裙	百褶裙	bai3 zhe3 qun2
